alerts,analytics_emitted,analytics_throughput,batches,broker,dropped,duration_s,e2e_latency_s,emitted,first_alert_after_reconnect,ingest_emitted,ingest_throughput,last_mean,level,num_devices,peak_backlog,persisted,received,recovery_s,run_id,storage_emitted,storage_lag_ms,storage_p95_lag_ms,storage_throughput,total_cpu_avg,total_mem_mb_avg
0,,,,kafka,,,,,,,,,,,,,,,scenario-D-kafka-20260614-152754,,,,,0,0
0,0,0,0,kafka,0,,,,,125392.0,0.0,,,,,0,0,,scenario-D-kafka-20260614-180859,0,,,0,39.07,482.41
0,0,0,870,kafka,0,,,,,125076.0,0.0,,,,112,124758,124870,,scenario-D-kafka-20260614-181410,124870.0,0.0,0.0,0,60.47,699.18
17,0,0,869,kafka,0,,-33,,,125085.0,0.0,90.89,,,148,124775,124923,,scenario-D-kafka-20260614-182059,124923.0,0.0,0.0,0,65.0,701.83
18,0,0,870,kafka,0,,-4,,,126341.0,0.0,90.6,,,51,126064,126115,,scenario-D-kafka-20260614-185041,126115.0,0.0,0.0,0,65.55,654.62
17,0,0,870,kafka,0,,6,,,126403.0,0.0,90.71,,,69,126134,126203,,scenario-D-kafka-20260614-185849,126203.0,0.0,0.0,0,63.17,672.96
0,,,,mqtt,,,,,,,,,,,,,,,scenario-D-mqtt-20260614-133835,,,,,0,0
0,0,0,874,mqtt,0,,,,,125837.0,0.0,,,,86,125599,125685,,scenario-D-mqtt-20260614-175813,125685.0,0.0,0.0,0,63.54,146.21
17,0,0,874,mqtt,0,,-32,,,126049.0,0.0,90.61,,,38,125874,125912,,scenario-D-mqtt-20260614-180505,125912.0,0.0,0.0,0,61.34,169.31
17,0,0,874,mqtt,0,,0,,,126518.0,0.0,90.49,,,10,126366,126376,,scenario-D-mqtt-20260614-184314,126376.0,0.0,0.0,0,64.71,141.62
17,0,0,874,mqtt,0,,0,,,126509.0,0.0,90.51,,,36,126334,126370,,scenario-D-mqtt-20260614-184724,126370.0,0.0,0.0,0,63.74,129.94
17,0,0,873,mqtt,0,,10,,,126099.0,0.0,90.46,,,128,125833,125961,,scenario-D-mqtt-20260614-185532,125961.0,0.0,0.0,0,63.93,186.98
